0, 1, 2, 3, 4, 5, 6
19, 10, 18, 9, 2, 17, 25, 27, 11
0, 1, 2, 3, 4, 5, 6
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
1, 18, 26, 19, 27, 20
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
19, 10, 18, 9, 2, 17, 25, 27, 11
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
18, 23, 23, 33, 33, 56, 64, 64, 18, 39, 39, 39, 36, 32, 32
23, 23, 33, 33, 64, 64, 39, 39, 39, 36, 32, 32, 33, 33, 33
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
37, 67, 59, 67, 62, 62, 59, 9, 9, 13, 53, 53, 63, 42, 71
88, 88, 88, 27, 27, 27, 12, 12, 12, 62, 62, 45, 45, 32, 6
20, 23, 49, 49, 49, 25, 20, 18, 22, 78, 62, 49, 27, 27, 27
88, 88, 88, 27, 27, 27, 12, 12, 12, 62, 62, 45, 45, 32, 6
20, 49, 49, 49, 25, 20, 18, 22, 78, 62, 49, 27, 27, 17, 17
88, 88, 88, 27, 27, 27, 12, 12, 12, 62, 62, 45, 45, 32, 6
20, 49, 49, 25, 20, 18, 22, 62, 49, 27, 27, 17, 17, 18, 25
88, 88, 88, 27, 27, 27, 12, 12, 12, 62, 62, 45, 45, 32, 6
